date_inicial,date_final,IrrDia_1,th1_dia1,th1_dia2,th1_dia3,th2_dia1,th2_dia2,th2_dia3,MinTemp_dia1,MinTemp_dia2,MinTemp_dia3,MaxTemp_dia1,MaxTemp_dia2,MaxTemp_dia3,Precipitation_dia1,Precipitation_dia2,Precipitation_dia3,ReferenceET_dia1,ReferenceET_dia2,ReferenceET_dia3
1991-06-28,1991-06-30,8.48398082249361,0.2215453649364852,0.1913407302409525,0.1563943525744555,0.2200051925760266,0.2201287604931693,0.2200118375978622,3.75,4.2,4.05,17.6,16.96,19.75,0.0,0.0,0.0,2.629762805239104,2.6318900137172623,3.196340472884104
1991-07-01,1991-07-03,9.854637766649708,0.2179133412864897,0.1858295104131373,0.1728109355826136,0.2200010889181454,0.220000100172826,0.2200000092152419,5.07,6.89,4.92,21.11,19.23,11.55,0.0,0.0,0.0,3.3896555389063403,2.939686117470269,1.1938809863413828
1991-07-04,1991-07-06,5.291857483052377,0.2194529676155907,0.2201886372802717,0.1885174157549338,0.2200000008477421,0.2200000000779867,0.2200157451700126,4.68,2.54,3.22,10.74,14.22,18.08,0.73,1.95,0.0,1.2461495382553442,1.7238437296190503,2.8964003522977
1991-07-07,1991-07-09,6.299992148773816,0.2221715871054364,0.1958120567734084,0.1925732134290327,0.2200014483403533,0.2201799516832516,0.2200165396780055,6.29,7.59,7.92,18.7,20.89,17.55,0.0,0.0,2.26,2.700716773265719,2.246217841610364,2.3821957065608528
1991-07-13,1991-07-15,5.075717311488497,0.2170094599160056,0.1976874910512761,0.1730982290770764,0.2200251708462713,0.2200023152659743,0.2200002129869291,-3.78,-0.23,0.42,9.83,10.8,11.89,0.0,0.0,0.0,1.638605578493909,1.7893199416398675,2.2791321862522724
1991-07-16,1991-07-18,7.148926197419971,0.2191576910133717,0.2445501866414511,0.1914231194103152,0.2200000195933871,0.2200000018024636,0.2218431016626327,1.12,4.06,3.43,13.61,14.68,16.82,0.0,4.66,0.01,2.3591385443500146,1.9769216442660704,2.8890240276840187
1991-07-19,1991-07-21,5.843315687133209,0.2199998422547077,0.2074595159315858,0.1835246378116924,0.2201680101191457,0.2200154430186672,0.2200014205486793,3.56,3.48,1.67,17.33,14.42,12.92,0.01,0.31,0.0,2.822364477573102,1.4822758787470929,2.290747723145057
1991-07-22,1991-07-24,6.051862548829153,0.2162702994702163,0.1881410532693989,0.151946667055302,0.2200001306802934,0.2200000120217266,0.2200000011059203,-1.58,-0.85,0.58,13.66,15.37,19.65,0.0,0.0,0.0,2.6668558558474205,2.720847847900861,3.528556131510729
1991-07-25,1991-07-27,10.429438621409693,0.2234192857630501,0.1830499291920372,0.1453153796938512,0.2200000001017373,0.2202817082603034,0.2200258792889616,3.83,4.35,8.69,18.3,22.05,24.65,0.0,0.0,0.0,3.226936599541818,3.696778213259928,3.780962974721503
1991-07-28,1991-07-30,10.843454949818602,0.2410039113178406,0.2091822001716305,0.1805579181427851,0.2200023804216597,0.2216034685432738,0.2201463407264455,7.96,5.05,3.68,16.32,15.18,16.23,0.4,0.42,0.0,1.6958751876700089,1.580955211467444,2.9799235423773025
