date_inicial,date_final,IrrDia_1,IrrDia_2,IrrDia_3,th1_dia1,th1_dia2,th1_dia3,th2_dia1,th2_dia2,th2_dia3,MinTemp_dia1,MinTemp_dia2,MinTemp_dia3,MaxTemp_dia1,MaxTemp_dia2,MaxTemp_dia3,Precipitation_dia1,Precipitation_dia2,Precipitation_dia3,ReferenceET_dia1,ReferenceET_dia2,ReferenceET_dia3,Estresse_hidrico_dia1,Estresse_hidrico_dia2,Estresse_hidrico_dia3
2001-01-31,2001-02-02,4.649472336057616,4.169561300347169,5.709278587412155,0.222200680282951,0.2124030750074851,0.2200038920162739,0.220008632776637,0.2201829871471212,0.2200168184206601,9.6,11.8,12.1,31.2,31.4,31.9,0.0,0.0,0.0,3.9,4.5,4.5,0.0,0.0,0.0
2001-02-03,2001-02-05,4.949196886533272,5.169087864666683,5.498944825262945,0.2189014482518911,0.2178028786459285,0.2145052117442714,0.2200015470565429,0.2200001423180209,0.22000001309232,12.9,15.2,15.0,32.3,33.7,32.9,0.0,0.0,0.0,4.6,4.8,5.3,0.0,0.0,0.0
2001-02-06,2001-02-08,6.378711515428673,5.108844907102345,4.638667407795209,0.2244054590817002,0.2230976844263603,0.2171812138393543,0.2200000012044079,0.2203614962824033,0.2202806057975681,15.8,13.7,11.3,33.6,33.2,33.3,0.0,0.0,0.0,4.9,4.4,4.5,0.0,0.0,0.0
2001-02-09,2001-02-11,5.228606603616608,4.418292664308092,5.448471865488435,0.2232809636281841,0.2149951426657427,0.2166967282391459,0.2200257781510734,0.2202727656976419,0.220025058882996,9.8,10.6,11.1,32.2,32.8,32.8,0.0,0.0,0.0,4.2,4.5,4.8,0.0,0.0,0.0
2001-02-12,2001-02-14,5.608313308148111,5.1283977097265625,4.828568623905012,0.22109685434535,0.2219009987947993,0.2112785760294902,0.220002304968637,0.2200914302252543,0.2201658503093109,11.5,13.7,16.0,33.4,34.2,33.0,0.0,0.0,0.0,4.7,4.5,5.2,0.0,0.0,0.0
2001-02-15,2001-02-17,6.58803479794059,7.917615964938285,4.718745623664308,0.2094970234218486,0.2336926963531026,0.2177797667602883,0.2195009855953171,0.2195009855953171,0.2210398672680069,16.8,15.2,16.6,33.8,32.0,31.4,0.0,0.0,0.0,6.2,5.0,4.6,0.0,0.0,0.0
2001-02-18,2001-02-20,5.268181731049193,7.047801903764602,5.537949380813654,0.2099835650331342,0.2232825653048915,0.2228960995022735,0.22009516990885,0.2200087508984632,0.2202713760307006,15.7,16.0,17.8,33.4,33.2,34.3,0.0,0.0,0.0,5.5,5.2,4.8,0.0,0.0,0.0
2001-02-21,2001-02-23,5.078074858446819,5.667992036899207,6.047855648891867,0.2171634388908361,0.2166648027709094,0.2243632624084713,0.22026261067536,0.2200241271558431,0.2200022192766246,15.8,15.1,12.3,35.0,34.0,34.0,0.0,0.0,0.0,4.9,5.2,4.8,0.0,0.0,0.0
2001-02-24,2001-02-26,4.998005247651453,5.957916755258139,6.597698748451615,0.2153936206701705,0.2144958007382359,0.2182560499503372,0.2203582918045397,0.220032902219479,0.2195437022786321,14.6,13.8,14.8,35.1,36.2,36.4,0.0,0.0,0.0,5.0,5.5,5.7,0.0,0.0,0.0
2001-02-27,2001-03-01,6.487606229180248,5.9276827073118525,7.227464818513891,0.2226552851690211,0.2170779433340428,0.2252677373567121,0.2195437022786321,0.2166436752015959,0.2037581808237506,13.8,16.9,17.2,34.7,37.2,34.9,0.0,0.0,0.0,5.5,6.0,7.0,0.0,0.0,0.0
2001-03-02,2001-03-04,8.787034854031504,6.777198107553966,6.127490400407082,0.2451054289248717,0.2278964012775065,0.2196512600600053,0.199218856720366,0.2172311304116312,0.2145466594000484,18.3,17.6,17.5,34.2,33.5,33.4,0.0,0.0,0.0,6.6,5.9,6.2,0.0,0.0,0.0
2001-03-05,2001-03-07,7.397358269719232,6.357442563154641,4.727908266485716,0.2316691222633471,0.2307067640026157,0.2077353142445966,0.2105279542623524,0.2201084340882672,0.2208646374553973,18.7,17.8,19.2,34.1,32.8,34.3,0.0,0.0,0.0,6.0,4.9,5.5,0.0,0.0,0.0
2001-03-08,2001-03-10,7.267649003589007,5.517774624179926,6.157558113084945,0.2232340580386871,0.2143006684898711,0.2219199084842863,0.2200792014945035,0.2187679753916613,0.2125509017414832,19.0,19.4,17.9,33.2,32.6,32.7,0.0,0.0,0.8,5.2,5.7,6.2,0.0,0.0,0.0
2001-03-11,2001-03-13,7.367341478661247,5.4624402174471,4.808381792185886,0.2334239571159625,0.2208933208234341,0.2182326911645384,0.2142958657219493,0.2205845065292332,0.2200818172744075,17.7,18.9,17.1,34.0,32.6,32.8,0.0,0.0,0.6,5.5,5.0,5.1,0.0,0.0,0.0
2001-03-14,2001-03-16,5.77329440317279,5.588427508243173,6.012513689314132,0.2200813601138345,0.2178666197835572,0.2172280014703585,0.2200075236161871,0.2200074815942666,0.2195084983354368,17.3,19.0,19.0,32.3,33.6,34.9,0.0,0.0,0.0,5.1,5.3,5.6,0.0,0.0,0.0
2001-03-17,2001-03-19,6.455594510334649,6.329513909696044,5.69646087676596,0.2208770609221136,0.2244108648737098,0.2173578293985577,0.2181202448900676,0.2189169712677719,0.2202657209070505,19.4,19.7,23.3,36.2,36.0,36.2,0.0,0.0,0.0,5.7,5.4,5.5,0.0,0.0,0.0
2001-03-20,2001-03-22,6.260370419139958,6.652087427159332,3.927455580828986,0.2189405473048095,0.2331868657681138,0.2098276290708142,0.2178245245442871,0.2178245245442871,0.2208642312443632,21.2,24.0,20.3,35.8,36.4,36.4,0.0,0.0,0.6,5.8,4.8,5.2,0.0,0.0,0.0
2001-03-23,2001-03-25,6.668073598808206,8.247623449576977,5.273913484357337,0.2145503000469007,0.2372873996990984,0.2135457241579102,0.2124609949609422,0.2124609949609422,0.2206076027190099,19.6,21.0,20.9,36.2,36.8,36.4,0.0,0.0,0.0,6.4,5.5,5.6,0.0,0.0,0.0
2001-03-26,2001-03-28,6.71713911722167,7.79914043680817,6.26799560365584,0.2187849794316896,0.2353349758375597,0.2222251380451023,0.2125964593726142,0.2079579112982673,0.2137535829336671,19.0,18.0,19.5,37.8,36.8,37.2,0.0,0.0,0.0,6.4,6.1,6.3,0.0,0.0,0.0
2001-03-29,2001-03-31,7.218586200347487,7.0306567967972775,7.330574333126126,0.2304741034272694,0.2289884045535716,0.2325124280535323,0.2084839115870023,0.2089704350974116,0.2118276461087968,21.4,23.4,19.9,37.6,37.8,37.4,0.0,0.0,0.0,6.4,6.6,6.2,0.0,0.0,0.0
2001-04-01,2001-04-03,6.33245088199152,6.115097971872337,2.455280238006226,0.2234681796743284,0.2265117600467538,0.2092676345985905,0.2186801377832708,0.2201672544012355,0.2148519304380458,21.1,19.9,21.3,36.2,34.0,36.1,0.0,0.0,2.6,5.8,5.1,6.3,0.0,0.0,0.0
2001-04-04,2001-04-06,8.335715287568918,3.9141339311819614,8.495904237992258,0.2424834481624598,0.1993378086905143,0.2211500616738055,0.2148519304380458,0.219297712867008,0.2107215483886004,22.6,19.8,19.4,35.2,35.1,37.2,0.0,0.0,0.0,4.7,6.0,6.8,0.0,0.0,0.0
2001-04-07,2001-04-09,7.9822953875038944,6.26786101166294,5.882490835477417,0.2372910061536613,0.2213131838927595,0.2264643610547698,0.2073249476671543,0.2164809775362514,0.2171143790613641,20.5,21.7,23.9,37.0,38.2,39.0,0.0,0.0,1.0,6.4,6.4,6.1,0.0,0.0,0.0
2001-04-10,2001-04-12,6.064032966765104,3.694157500182401,9.25878461450602,0.2350744208853135,0.1945868272163495,0.226724097621441,0.2202721646951257,0.2187534988432869,0.2187534988432869,23.4,24.4,23.8,37.2,38.4,36.9,0.0,0.0,0.0,4.5,6.5,6.0,0.0,0.0,0.0
2001-04-13,2001-04-15,4.705057573996906,2.7108127403763147,6.548044902878698,0.2387404482859345,0.2012912286678529,0.2101750327716476,0.2204380634088047,0.2214787594618671,0.2201350429498818,19.9,19.0,21.7,31.8,30.9,33.0,1.0,0.0,0.0,3.9,4.8,5.8,0.0,0.0,0.0
2001-04-16,2001-04-18,6.63966449249925,0.0,5.534951464655591,0.2341677697432691,0.2242099672937451,0.2251326708076572,0.2200124147904031,0.221116323386386,0.2203792315433482,23.7,20.7,20.1,33.4,35.4,33.8,0.0,6.2,0.0,4.4,6.2,5.4,0.0,0.0,0.0
2001-04-19,2001-04-21,4.659607538224781,7.284033249565681,5.680421472093022,0.2071159342191315,0.221952051993858,0.2209520340502088,0.2204531188521497,0.2200415907493248,0.2201655437398199,23.4,23.5,22.4,36.2,37.4,36.9,0.0,0.0,0.0,6.5,6.4,6.3,0.0,0.0,0.0
2002-01-02,2002-01-04,5.603002560843829,2.9800000000000133,4.299999999999988,0.2386300256084383,0.2142376266264753,0.2198376266264753,0.22,0.2214376450966172,0.2201313151740282,8.7,6.2,8.2,26.8,26.4,25.6,0.0,0.0,0.0,3.4,3.4,3.4,0.0,0.0,0.0
2002-01-05,2002-01-07,3.759999999999996,3.959948261725562,3.03954660316414,0.2189466740951587,0.2255466578694061,0.2128151229155044,0.2200120723101682,0.2200011105075982,0.2204531008911057,12.2,17.4,15.4,25.8,25.6,26.6,0.0,0.0,0.0,3.5,3.0,3.5,0.0,0.0,0.0
